column_name|data_type
id|character varying
loan_number|character varying
customer_name|character varying
customer_phone|character varying
customer_email|character varying
loan_amount|numeric
bank_id|integer
broker_id|integer
user_id|integer
status|character varying
application_date|date
approval_date|date
disbursement_date|date
vehicle_model|character varying
vehicle_price|numeric
down_payment|numeric
tenure_months|integer
interest_rate|numeric
emi_amount|numeric
notes|text
created_at|timestamp without time zone
updated_at|timestamp without time zone
customer_id|character varying
applicant_name|character varying
mobile|character varying
co_applicant_name|character varying
co_applicant_mobile|character varying
guarantor_name|character varying
guarantor_mobile|character varying
current_address|text
current_village|character varying
current_tehsil|character varying
current_district|character varying
current_pincode|character varying
permanent_address|text
permanent_village|character varying
permanent_tehsil|character varying
permanent_district|character varying
permanent_pincode|character varying
our_branch|character varying
income_source|character varying
monthly_income|numeric
ltv|numeric
loan_type_vehicle|character varying
vehicle_number|character varying
maker_name|character varying
model_variant_name|character varying
mfg_year|character varying
vertical|character varying
scheme|character varying
total_emi|integer
total_interest|numeric
irr|numeric
emi_start_date|date
emi_end_date|date
processing_fee|numeric
emi|numeric
assigned_bank_id|integer
assigned_broker_id|integer
sanction_amount|numeric
sanction_date|date
insurance_company_name|character varying
premium_amount|numeric
insurance_date|date
insurance_policy_number|character varying
total_deduction|numeric
net_disbursement_amount|numeric
payment_received_date|date
rc_owner_name|character varying
rto_agent_name|character varying
agent_mobile_no|character varying
login_date|date
sourcing_person_name|character varying
remark|text
created_by|integer
insurance_made_by|character varying
insurance_reminder_enabled|boolean
mehar_deduction|numeric
mehar_pf|numeric
hold_amount|numeric
net_seed_amount|numeric
payment_in_favour|character varying
current_state|character varying
permanent_state|character varying
purpose_loan_amount|numeric
emi_mode|character varying
financier_executive_name|character varying
financier_team_vertical|character varying
disburse_branch_name|character varying
hpn_at_login|character varying
branch_id|integer
tenure|integer
financier_m_parivahan|character varying
balance_payment_status|character varying
pdd_update_finance_company|character varying
fc_deposited_by|character varying
fc_deposit_date|date
fc_receipt|character varying
zero_statement|character varying
current_fc_status|character varying
prev_financier_account_status|character varying
noc_status|character varying
noc_checked_by|character varying
previous_dto_noc|character varying
rto_paper_details|text
pending_rto_documents|text
rto_docs_location|character varying
rto_work_description|text
rto_work_status|character varying
dto_location|character varying
rto_agent_mobile|character varying
rto_mail|character varying
pollution_status|character varying
insurance_status|character varying
vehicle_check_status|character varying
insurance_endorsement|character varying
challan_status|character varying
police_case_status|character varying
commitment_date|date
delay_days|integer
pdd_status|character varying
pdd_submitted_by|integer
pdd_submitted_at|timestamp without time zone
pdd_approved_by|integer
pdd_approved_at|timestamp without time zone
pdd_rejection_reason|text
workflow_stage|character varying
current_assignee_role|character varying
workflow_updated_at|timestamp without time zone
owner_role|character varying
chassis_number|character varying
engine_number|character varying
rc_mfg_date|date
rc_expiry_date|date
is_financed|character varying
fc|character varying
rto_rc|boolean
rto_noc|boolean
rto_permit|boolean
rto_pollution|boolean
rto_2930_form|boolean
rto_sell_agreement|boolean
rto_rc_owner_kyc|boolean
rto_stamp_papers|boolean
rto_fitness_document|boolean
rto_tax_receipt|boolean
registration_date|date
booking_month|character varying
(148 rows)
