column_name|data_type
id|integer
loan_id|character varying
applicant_name|character varying
applicant_phone|character varying
applicant_email|character varying
bank_name|character varying
account_number|character varying
ifsc_code|character varying
branch_name|character varying
payment_amount|numeric
payment_purpose|character varying
pdd_documents|jsonb
banking_documents|jsonb
remarks|text
status|character varying
created_by|integer
approved_by|integer
processed_by|integer
manager_remarks|text
utr_number|character varying
approved_at|timestamp without time zone
released_at|timestamp without time zone
created_at|timestamp without time zone
updated_at|timestamp without time zone
organization_wide|boolean
source_branch_id|integer
updated_by|integer
beneficiary_name|character varying
voucher_number|character varying
voucher_date|date
payment_method|character varying
reference_number|character varying
payment_date|date
(33 rows)
